2024-07-02 23:44:58,107 FIX Engine listening for connections
2024-07-02 23:56:52,953 Connected by ('127.0.0.1', 63630)
2024-07-02 23:56:52,953 Connected by ('127.0.0.1', 63629)
2024-07-02 23:56:58,967 Connected by ('127.0.0.1', 63647)
2024-07-02 23:56:58,967 Connected by ('127.0.0.1', 63648)
2024-07-02 23:57:04,986 Connected by ('127.0.0.1', 63665)
2024-07-02 23:57:04,986 Connected by ('127.0.0.1', 63666)
2024-07-02 23:57:11,010 Connected by ('127.0.0.1', 63684)
2024-07-02 23:57:11,011 Connected by ('127.0.0.1', 63686)
2024-07-02 23:57:17,030 Connected by ('127.0.0.1', 63702)
2024-07-02 23:57:17,030 Connected by ('127.0.0.1', 63703)
2024-07-02 23:57:23,047 Connected by ('127.0.0.1', 63719)
2024-07-02 23:57:23,048 Connected by ('127.0.0.1', 63720)
2024-07-02 23:57:29,068 Connected by ('127.0.0.1', 63737)
2024-07-02 23:57:29,069 Connected by ('127.0.0.1', 63738)
2024-07-02 23:57:35,079 Connected by ('127.0.0.1', 63755)
2024-07-02 23:57:35,080 Connected by ('127.0.0.1', 63756)
2024-07-02 23:57:40,109 Connected by ('127.0.0.1', 63771)
2024-07-02 23:57:40,109 Connected by ('127.0.0.1', 63772)
2024-07-02 23:57:46,123 Connected by ('127.0.0.1', 63789)
2024-07-02 23:57:46,123 Connected by ('127.0.0.1', 63790)
2024-07-02 23:57:52,144 Connected by ('127.0.0.1', 63807)
2024-07-02 23:57:52,144 Connected by ('127.0.0.1', 63808)
2024-07-02 23:57:57,178 Connected by ('127.0.0.1', 63823)
2024-07-02 23:57:57,178 Connected by ('127.0.0.1', 63824)
2024-07-02 23:58:03,193 Connected by ('127.0.0.1', 63841)
2024-07-02 23:58:03,193 Connected by ('127.0.0.1', 63842)
2024-07-02 23:58:08,226 Connected by ('127.0.0.1', 63857)
2024-07-02 23:58:08,230 Connected by ('127.0.0.1', 63859)
2024-07-02 23:58:13,258 Connected by ('127.0.0.1', 63873)
2024-07-02 23:58:13,259 Connected by ('127.0.0.1', 63874)
2024-07-02 23:58:18,285 Connected by ('127.0.0.1', 63889)
2024-07-02 23:58:18,286 Connected by ('127.0.0.1', 63890)
2024-07-02 23:58:24,293 Connected by ('127.0.0.1', 63907)
2024-07-02 23:58:24,293 Connected by ('127.0.0.1', 63908)
2024-07-02 23:58:29,330 Connected by ('127.0.0.1', 63923)
2024-07-02 23:58:29,330 Connected by ('127.0.0.1', 63924)
2024-07-02 23:58:34,385 Connected by ('127.0.0.1', 63939)
2024-07-02 23:58:34,385 Connected by ('127.0.0.1', 63940)
2024-07-02 23:58:40,409 Connected by ('127.0.0.1', 63958)
2024-07-02 23:58:40,410 Connected by ('127.0.0.1', 63959)
2024-07-02 23:58:45,420 Connected by ('127.0.0.1', 63974)
2024-07-02 23:58:45,420 Connected by ('127.0.0.1', 63975)
2024-07-02 23:58:51,431 Connected by ('127.0.0.1', 63992)
2024-07-02 23:58:51,431 Connected by ('127.0.0.1', 63993)
2024-07-02 23:58:56,452 Connected by ('127.0.0.1', 64008)
2024-07-02 23:58:56,452 Connected by ('127.0.0.1', 64009)
2024-07-02 23:59:01,475 Connected by ('127.0.0.1', 64024)
2024-07-02 23:59:01,476 Connected by ('127.0.0.1', 64025)
2024-07-02 23:59:06,500 Connected by ('127.0.0.1', 64040)
2024-07-02 23:59:06,501 Connected by ('127.0.0.1', 64042)
2024-07-02 23:59:12,533 Connected by ('127.0.0.1', 64058)
2024-07-02 23:59:12,533 Connected by ('127.0.0.1', 64059)
2024-07-02 23:59:17,549 Connected by ('127.0.0.1', 64073)
2024-07-02 23:59:17,550 Connected by ('127.0.0.1', 64074)
2024-07-02 23:59:23,568 Connected by ('127.0.0.1', 64091)
2024-07-02 23:59:23,569 Connected by ('127.0.0.1', 64092)
2024-07-02 23:59:29,590 Connected by ('127.0.0.1', 64109)
2024-07-02 23:59:29,591 Connected by ('127.0.0.1', 64110)
2024-07-02 23:59:35,614 Connected by ('127.0.0.1', 64127)
2024-07-02 23:59:35,615 Connected by ('127.0.0.1', 64128)
2024-07-02 23:59:40,637 Connected by ('127.0.0.1', 64143)
2024-07-02 23:59:40,637 Connected by ('127.0.0.1', 64144)
2024-07-02 23:59:46,653 Connected by ('127.0.0.1', 64161)
2024-07-02 23:59:46,654 Connected by ('127.0.0.1', 64162)
2024-07-02 23:59:52,677 Connected by ('127.0.0.1', 64179)
2024-07-02 23:59:52,678 Connected by ('127.0.0.1', 64180)
2024-07-02 23:59:58,694 Connected by ('127.0.0.1', 64197)
2024-07-02 23:59:58,695 Connected by ('127.0.0.1', 64198)
2024-07-03 00:00:03,770 Connected by ('127.0.0.1', 64213)
2024-07-03 00:00:03,771 Connected by ('127.0.0.1', 64214)
2024-07-03 00:00:08,792 Connected by ('127.0.0.1', 64229)
2024-07-03 00:00:08,792 Connected by ('127.0.0.1', 64230)
2024-07-03 00:00:14,821 Connected by ('127.0.0.1', 64249)
2024-07-03 00:00:14,821 Connected by ('127.0.0.1', 64248)
2024-07-03 00:00:20,834 Connected by ('127.0.0.1', 64266)
2024-07-03 00:00:20,834 Connected by ('127.0.0.1', 64267)
2024-07-03 00:00:26,850 Connected by ('127.0.0.1', 64284)
2024-07-03 00:00:26,850 Connected by ('127.0.0.1', 64285)
2024-07-03 00:00:31,908 Connected by ('127.0.0.1', 64300)
2024-07-03 00:00:31,909 Connected by ('127.0.0.1', 64301)
2024-07-03 00:00:37,937 Connected by ('127.0.0.1', 64318)
2024-07-03 00:00:37,937 Connected by ('127.0.0.1', 64319)
2024-07-03 00:00:43,951 Connected by ('127.0.0.1', 64338)
2024-07-03 00:00:43,952 Connected by ('127.0.0.1', 64339)
2024-07-03 00:00:49,969 Connected by ('127.0.0.1', 64356)
2024-07-03 00:00:49,969 Connected by ('127.0.0.1', 64357)
2024-07-03 00:00:55,983 Connected by ('127.0.0.1', 64374)
2024-07-03 00:00:55,984 Connected by ('127.0.0.1', 64375)
2024-07-03 00:01:01,020 Connected by ('127.0.0.1', 64390)
2024-07-03 00:01:01,020 Connected by ('127.0.0.1', 64391)
2024-07-03 00:01:06,053 Connected by ('127.0.0.1', 64406)
2024-07-03 00:01:06,055 Connected by ('127.0.0.1', 64407)
2024-07-03 00:01:12,068 Connected by ('127.0.0.1', 64423)
2024-07-03 00:01:12,069 Connected by ('127.0.0.1', 64424)
2024-07-03 00:01:18,083 Connected by ('127.0.0.1', 64441)
2024-07-03 00:01:18,084 Connected by ('127.0.0.1', 64442)
2024-07-03 00:01:23,111 Connected by ('127.0.0.1', 64457)
2024-07-03 00:01:23,112 Connected by ('127.0.0.1', 64458)
2024-07-03 00:01:29,137 Connected by ('127.0.0.1', 64475)
2024-07-03 00:01:29,137 Connected by ('127.0.0.1', 64476)
2024-07-03 00:01:34,163 Connected by ('127.0.0.1', 64491)
2024-07-03 00:01:34,164 Connected by ('127.0.0.1', 64492)
2024-07-03 00:01:40,176 Connected by ('127.0.0.1', 64509)
2024-07-03 00:01:40,176 Connected by ('127.0.0.1', 64510)
2024-07-03 00:01:46,192 Connected by ('127.0.0.1', 64527)
2024-07-03 00:01:46,193 Connected by ('127.0.0.1', 64528)
2024-07-03 00:01:52,202 Connected by ('127.0.0.1', 64545)
2024-07-03 00:01:52,203 Connected by ('127.0.0.1', 64546)
2024-07-03 00:01:57,257 Connected by ('127.0.0.1', 64561)
2024-07-03 00:01:57,257 Connected by ('127.0.0.1', 64562)
2024-07-03 00:02:02,278 Connected by ('127.0.0.1', 64577)
2024-07-03 00:02:02,279 Connected by ('127.0.0.1', 64578)
2024-07-03 00:02:07,294 Connected by ('127.0.0.1', 64593)
2024-07-03 00:02:07,294 Connected by ('127.0.0.1', 64594)
2024-07-03 00:02:13,310 Connected by ('127.0.0.1', 64611)
2024-07-03 00:02:13,311 Connected by ('127.0.0.1', 64612)
2024-07-03 00:02:18,346 Connected by ('127.0.0.1', 64627)
2024-07-03 00:02:18,346 Connected by ('127.0.0.1', 64628)
2024-07-03 00:02:24,363 Connected by ('127.0.0.1', 64645)
2024-07-03 00:02:24,364 Connected by ('127.0.0.1', 64646)
2024-07-03 00:02:29,421 Connected by ('127.0.0.1', 64661)
2024-07-03 00:02:29,421 Connected by ('127.0.0.1', 64662)
2024-07-03 00:02:35,438 Connected by ('127.0.0.1', 64679)
2024-07-03 00:02:35,438 Connected by ('127.0.0.1', 64680)
2024-07-03 00:02:41,447 Connected by ('127.0.0.1', 64697)
2024-07-03 00:02:41,447 Connected by ('127.0.0.1', 64698)
2024-07-03 00:02:47,471 Connected by ('127.0.0.1', 64716)
2024-07-03 00:02:47,472 Connected by ('127.0.0.1', 64717)
2024-07-03 00:02:53,482 Connected by ('127.0.0.1', 64734)
2024-07-03 00:02:53,482 Connected by ('127.0.0.1', 64735)
2024-07-03 00:02:59,502 Connected by ('127.0.0.1', 64752)
2024-07-03 00:02:59,503 Connected by ('127.0.0.1', 64753)
2024-07-03 00:03:05,521 Connected by ('127.0.0.1', 64770)
2024-07-03 00:03:05,522 Connected by ('127.0.0.1', 64771)
2024-07-03 00:03:11,550 Connected by ('127.0.0.1', 64788)
2024-07-03 00:03:11,550 Connected by ('127.0.0.1', 64789)
2024-07-03 00:03:16,641 Connected by ('127.0.0.1', 64804)
2024-07-03 00:03:16,642 Connected by ('127.0.0.1', 64805)
2024-07-03 00:03:22,663 Connected by ('127.0.0.1', 64822)
2024-07-03 00:03:22,663 Connected by ('127.0.0.1', 64823)
2024-07-03 00:03:28,684 Connected by ('127.0.0.1', 64840)
2024-07-03 00:03:28,684 Connected by ('127.0.0.1', 64841)
2024-07-03 00:03:34,706 Connected by ('127.0.0.1', 64859)
2024-07-03 00:03:34,707 Connected by ('127.0.0.1', 64860)
2024-07-03 00:03:39,732 Connected by ('127.0.0.1', 64875)
2024-07-03 00:03:39,732 Connected by ('127.0.0.1', 64876)
2024-07-03 00:03:44,748 Connected by ('127.0.0.1', 64891)
2024-07-03 00:03:44,748 Connected by ('127.0.0.1', 64892)
2024-07-03 00:03:50,760 Connected by ('127.0.0.1', 64909)
2024-07-03 00:03:50,761 Connected by ('127.0.0.1', 64910)
2024-07-03 00:03:55,797 Connected by ('127.0.0.1', 64925)
2024-07-03 00:03:55,797 Connected by ('127.0.0.1', 64926)
2024-07-03 00:04:01,812 Connected by ('127.0.0.1', 64943)
2024-07-03 00:04:01,813 Connected by ('127.0.0.1', 64944)
2024-07-03 00:04:06,854 Connected by ('127.0.0.1', 64959)
2024-07-03 00:04:06,854 Connected by ('127.0.0.1', 64960)
2024-07-03 00:04:12,862 Connected by ('127.0.0.1', 64977)
2024-07-03 00:04:12,862 Connected by ('127.0.0.1', 64978)
