2024-06-11 18:53:02,555 Market Simulator listening for connections
2024-06-11 19:02:20,261 Received order: fill 1 red
2024-06-11 19:02:20,263 Sent fill message: fill 1 red
2024-06-11 19:02:20,267 Connected by ('127.0.0.1', 56632)
2024-06-11 19:02:20,267 Received order: fill 1 red
2024-06-11 19:02:20,269 Sent fill message: fill 1 red
2024-06-11 19:02:20,273 Connected by ('127.0.0.1', 56634)
2024-06-11 19:02:20,274 Received order: fill 1 red
2024-06-11 19:02:20,276 Sent fill message: fill 1 red
2024-06-11 19:02:20,280 Connected by ('127.0.0.1', 56636)
2024-06-11 19:02:20,280 Received order: fill 1 red
2024-06-11 19:02:20,282 Sent fill message: fill 1 red
2024-06-11 19:02:20,286 Connected by ('127.0.0.1', 56638)
2024-06-11 19:02:20,286 Received order: fill 1 red
2024-06-11 19:02:20,289 Sent fill message: fill 1 red
2024-06-11 19:02:20,293 Connected by ('127.0.0.1', 56640)
2024-06-11 19:02:20,294 Received order: fill 1 red
2024-06-11 19:02:20,298 Sent fill message: fill 1 red
2024-06-11 19:02:20,305 Connected by ('127.0.0.1', 56642)
2024-06-11 19:02:20,306 Received order: fill 1 red
2024-06-11 19:02:20,310 Sent fill message: fill 1 red
2024-06-11 19:02:20,317 Connected by ('127.0.0.1', 56644)
2024-06-11 19:02:20,318 Received order: fill 1 red
2024-06-11 19:02:20,320 Sent fill message: fill 1 red
2024-06-11 19:02:20,325 Connected by ('127.0.0.1', 56646)
2024-06-11 19:02:20,325 Received order: fill 1 red
2024-06-11 19:02:20,327 Sent fill message: fill 1 red
2024-06-11 19:02:20,330 Connected by ('127.0.0.1', 56648)
2024-06-11 19:02:20,330 Received order: fill 1 red
2024-06-11 19:02:20,333 Sent fill message: fill 1 red
2024-06-11 19:02:20,336 Connected by ('127.0.0.1', 56650)
2024-06-11 19:02:20,337 Received order: fill 1 red
2024-06-11 19:02:20,339 Sent fill message: fill 1 red
2024-06-11 19:02:20,346 Connected by ('127.0.0.1', 56652)
2024-06-11 19:02:20,346 Received order: fill 1 red
2024-06-11 19:02:20,348 Sent fill message: fill 1 red
2024-06-11 19:02:20,355 Connected by ('127.0.0.1', 56654)
2024-06-11 19:02:20,355 Received order: fill 1 red
2024-06-11 19:02:20,358 Sent fill message: fill 1 red
2024-06-11 19:02:20,361 Connected by ('127.0.0.1', 56656)
2024-06-11 19:02:20,362 Received order: fill 1 red
2024-06-11 19:02:20,364 Sent fill message: fill 1 red
2024-06-11 19:02:20,383 Connected by ('127.0.0.1', 56658)
2024-06-11 19:02:20,384 Received order: fill 1 red
2024-06-11 19:02:20,391 Sent fill message: fill 1 red
2024-06-11 19:02:20,395 Connected by ('127.0.0.1', 56660)
2024-06-11 19:02:20,395 Received order: fill 1 red
2024-06-11 19:02:20,398 Sent fill message: fill 1 red
